Order ID,Order Status,Created Time,Seller SKU,Product Name,Quantity,SKU Unit Original Price
TT000001,Completed,2026-04-23 21:33:02,SKN-MINI-02,Mini Glow Drops,1,14.00
TT000001,Completed,2026-04-23 21:33:02,LIP-OIL-01,Lip Oil — Cherry,1,15.00
TT000002,Completed,2026-02-22 17:19:27,LSH-MASCARA-01,Volume Mascara — Black,1,18.00
TT000002,Completed,2026-02-22 17:19:27,LSH-LINER-02,Magnetic Lash Liner,1,22.00
TT000002,Completed,2026-02-22 17:19:27,FCE-SPRAY-02,Setting Spray — Dewy,1,24.00
TT000003,Completed,2026-04-01 12:05:23,CHK-BLUSH-01,Cream Blush — Petal,1,18.00
TT000004,Completed,2026-03-07 23:57:41,FCE-FOUND-01,Demi Matte Foundation,1,34.00
TT000004,Completed,2026-03-07 23:57:41,FCE-SPRAY-02,Setting Spray — Dewy,1,24.00
TT000004,Completed,2026-03-07 23:57:41,LIP-OIL-01,Lip Oil — Cherry,1,15.00
TT000005,Completed,2026-03-28 04:52:18,FCE-FOUND-01,Demi Matte Foundation,1,34.00
TT000005,Completed,2026-03-28 04:52:18,FCE-CONC-03,Concealer — Light,1,21.00
TT000006,Completed,2026-03-16 11:06:37,LSH-LINER-02,Magnetic Lash Liner,1,22.00
TT000006,Completed,2026-03-16 11:06:37,LSH-LASH-03,Magnetic Lashes — Wispy,1,26.00
TT000007,Cancelled,2026-04-30 03:14:34,FCE-SPRAY-02,Setting Spray — Dewy,1,24.00
TT000007,Cancelled,2026-04-30 03:14:34,FCE-CONC-03,Concealer — Light,2,21.00
TT000008,Completed,2026-03-13 13:18:53,LIP-OIL-01,Lip Oil — Cherry,1,15.00
TT000008,Completed,2026-03-13 13:18:53,LIP-LINER-02,Lip Liner — Nude,1,13.00
TT000009,Completed,2026-02-27 07:32:39,LIP-OIL-01,Lip Oil — Cherry,1,15.00
TT000009,Completed,2026-02-27 07:32:39,LIP-LINER-02,Lip Liner — Nude,1,13.00
TT000010,Completed,2026-04-20 19:24:16,FCE-FOUND-01,Demi Matte Foundation,1,34.00
TT000010,Completed,2026-04-20 19:24:16,FCE-SPRAY-02,Setting Spray — Dewy,1,24.00
TT000011,Completed,2026-04-28 07:10:22,FCE-CONC-03,Concealer — Light,2,21.00
TT000011,Completed,2026-04-28 07:10:22,SKN-SERUM-01,Glow Serum,1,42.00
TT000011,Completed,2026-04-28 07:10:22,SKN-MINI-02,Mini Glow Drops,1,14.00
TT000012,Completed,2026-04-02 11:32:33,LIP-OIL-01,Lip Oil — Cherry,1,15.00
TT000012,Completed,2026-04-02 11:32:33,LIP-LINER-02,Lip Liner — Nude,1,13.00
TT000013,Completed,2026-03-22 03:39:01,CHK-BRONZ-02,Liquid Bronzer,1,20.00
TT000013,Completed,2026-03-22 03:39:01,LSH-LASH-03,Magnetic Lashes — Wispy,1,26.00
TT000013,Completed,2026-03-22 03:39:01,LSH-MASCARA-01,Volume Mascara — Black,1,18.00
TT000014,Completed,2026-03-02 15:19:17,LSH-MASCARA-01,Volume Mascara — Black,1,18.00
TT000014,Completed,2026-03-02 15:19:17,LSH-LINER-02,Magnetic Lash Liner,1,22.00
TT000015,Completed,2026-04-10 00:27:40,CHK-BLUSH-01,Cream Blush — Petal,1,18.00
TT000015,Completed,2026-04-10 00:27:40,CHK-BRONZ-02,Liquid Bronzer,1,20.00
TT000016,Completed,2026-03-22 07:10:35,FCE-FOUND-01,Demi Matte Foundation,1,34.00
TT000017,Completed,2026-04-05 08:48:00,SKN-SERUM-01,Glow Serum,1,42.00
TT000017,Completed,2026-04-05 08:48:00,SKN-MINI-02,Mini Glow Drops,1,14.00
TT000018,Completed,2026-03-06 17:26:52,LSH-MASCARA-01,Volume Mascara — Black,1,18.00
TT000018,Completed,2026-03-06 17:26:52,SKN-SERUM-01,Glow Serum,1,42.00
TT000019,Completed,2026-04-26 10:12:38,SKN-SERUM-01,Glow Serum,1,42.00
TT000019,Completed,2026-04-26 10:12:38,SKN-MINI-02,Mini Glow Drops,1,14.00
TT000020,Cancelled,2026-04-07 06:44:47,CHK-BLUSH-01,Cream Blush — Petal,1,18.00
TT000020,Cancelled,2026-04-07 06:44:47,CHK-BRONZ-02,Liquid Bronzer,1,20.00
TT000020,Cancelled,2026-04-07 06:44:47,LSH-LASH-03,Magnetic Lashes — Wispy,2,26.00
TT000021,Completed,2026-04-03 13:11:02,FCE-FOUND-01,Demi Matte Foundation,1,34.00
TT000021,Completed,2026-04-03 13:11:02,FCE-SPRAY-02,Setting Spray — Dewy,2,24.00
TT000021,Completed,2026-04-03 13:11:02,LSH-MASCARA-01,Volume Mascara — Black,2,18.00
TT000022,Completed,2026-02-10 01:03:19,FCE-FOUND-01,Demi Matte Foundation,1,34.00
TT000022,Completed,2026-02-10 01:03:19,FCE-SPRAY-02,Setting Spray — Dewy,1,24.00
TT000023,Completed,2026-04-27 13:07:12,SKN-SERUM-01,Glow Serum,1,42.00
TT000023,Completed,2026-04-27 13:07:12,LIP-OIL-01,Lip Oil — Cherry,1,15.00
TT000024,Completed,2026-03-01 20:20:19,CHK-BLUSH-01,Cream Blush — Petal,1,18.00
TT000024,Completed,2026-03-01 20:20:19,CHK-BRONZ-02,Liquid Bronzer,2,20.00
TT000024,Completed,2026-03-01 20:20:19,LSH-LINER-02,Magnetic Lash Liner,1,22.00
TT000025,Completed,2026-04-27 09:09:51,CHK-BLUSH-01,Cream Blush — Petal,1,18.00
TT000025,Completed,2026-04-27 09:09:51,CHK-BRONZ-02,Liquid Bronzer,1,20.00
TT000026,Completed,2026-05-04 00:35:21,FCE-FOUND-01,Demi Matte Foundation,1,34.00
TT000026,Completed,2026-05-04 00:35:21,FCE-SPRAY-02,Setting Spray — Dewy,1,24.00
TT000027,Cancelled,2026-04-15 17:46:19,FCE-FOUND-01,Demi Matte Foundation,1,34.00
TT000027,Cancelled,2026-04-15 17:46:19,FCE-SPRAY-02,Setting Spray — Dewy,1,24.00
TT000028,Completed,2026-02-26 05:16:12,LSH-MASCARA-01,Volume Mascara — Black,1,18.00
TT000028,Completed,2026-02-26 05:16:12,LSH-LINER-02,Magnetic Lash Liner,1,22.00
TT000028,Completed,2026-02-26 05:16:12,LIP-LINER-02,Lip Liner — Nude,1,13.00
TT000029,Completed,2026-03-07 20:49:22,LIP-LINER-02,Lip Liner — Nude,1,13.00
TT000030,Completed,2026-03-03 15:55:51,FCE-FOUND-01,Demi Matte Foundation,1,34.00
TT000030,Completed,2026-03-03 15:55:51,FCE-SPRAY-02,Setting Spray — Dewy,1,24.00
TT000031,Completed,2026-03-17 03:26:21,LSH-MASCARA-01,Volume Mascara — Black,1,18.00
TT000031,Completed,2026-03-17 03:26:21,LSH-LINER-02,Magnetic Lash Liner,1,22.00
TT000032,Completed,2026-04-16 04:50:15,LIP-LINER-02,Lip Liner — Nude,1,13.00
TT000032,Completed,2026-04-16 04:50:15,FCE-CONC-03,Concealer — Light,1,21.00
TT000033,Completed,2026-04-03 10:02:32,LSH-LINER-02,Magnetic Lash Liner,1,22.00
TT000034,Completed,2026-04-12 00:26:28,SKN-MINI-02,Mini Glow Drops,1,14.00
TT000035,Completed,2026-04-01 16:00:15,LSH-MASCARA-01,Volume Mascara — Black,1,18.00
TT000035,Completed,2026-04-01 16:00:15,LSH-LINER-02,Magnetic Lash Liner,1,22.00
TT000035,Completed,2026-04-01 16:00:15,SKN-MINI-02,Mini Glow Drops,1,14.00
TT000036,Completed,2026-03-16 01:49:46,SKN-SERUM-01,Glow Serum,1,42.00
TT000036,Completed,2026-03-16 01:49:46,SKN-MINI-02,Mini Glow Drops,1,14.00
TT000037,Completed,2026-04-16 06:31:11,LIP-LINER-02,Lip Liner — Nude,1,13.00
TT000037,Completed,2026-04-16 06:31:11,FCE-CONC-03,Concealer — Light,1,21.00
TT000037,Completed,2026-04-16 06:31:11,FCE-SPRAY-02,Setting Spray — Dewy,2,24.00
TT000038,Completed,2026-04-02 09:13:57,LSH-LINER-02,Magnetic Lash Liner,1,22.00
TT000038,Completed,2026-04-02 09:13:57,LSH-LASH-03,Magnetic Lashes — Wispy,1,26.00
TT000039,Completed,2026-02-15 04:12:18,LSH-LINER-02,Magnetic Lash Liner,1,22.00
TT000039,Completed,2026-02-15 04:12:18,LSH-LASH-03,Magnetic Lashes — Wispy,1,26.00
TT000040,Completed,2026-04-19 03:49:14,SKN-SERUM-01,Glow Serum,1,42.00
